name,extId,x,y,category,puic,prodclass,x_real,y2,join_id,join_name,isInAustria
Wien Schloss Neugebäude (Nemethgasse),10885,0,0,0,0,0,16.447896,48.161012,0,0,1
Wien Hauffgasse (Simmeringer Hauptstraße 77-79),10886,0,0,0,0,0,16.415058,48.17437,0,0,1
Wien Zippererstraße (Simmeringer Hauptstr. 47-49),10887,0,0,0,0,0,16.415058,48.17437,0,0,1
Wien Molitorgasse (Simmeringer Hauptstraße 31-33),10888,0,0,0,0,0,16.415058,48.17437,0,0,1
Wien Litfaßstraße (Simmeringer Hauptstraße 3),10889,0,0,0,0,0,16.415058,48.17437,0,0,1
Wien Längenfeldgasse (Schönbrunner Straße),11097,0,0,0,0,0,16.468706,48.24302,0,0,1
Wien Hütteldorf Bf (Wientalstraße),11095,0,0,0,0,0,16.312203,48.199279,0,0,1
Wien Karlsplatz (Treitlstraße),11099,0,0,0,0,0,16.369366,48.200663,0,0,1
Wien Hietzing (Amtshaus),11096,0,0,0,0,0,16.303457,48.188069,0,0,1
Wien Pilgramgasse (Rechte Wienzeile),11098,0,0,0,0,0,16.354614,48.19269,0,0,1
Wien Mitte-Landstraße Bf (Vorplatz),11100,0,0,0,0,0,16.38489,48.206093,0,0,1
Wien Oper (Opernring/Steig E),11101,0,0,0,0,0,16.369635,48.202353,0,0,1
Wien Pilgramgasse (Linke Wienzeile),11102,0,0,0,0,0,16.354614,48.19269,0,0,1
Wien Längenfeldgasse (Linke Wienzeile 224),11103,0,0,0,0,0,16.34843,48.189481,0,0,1
Wien Hietzing (Hadikgasse),11104,0,0,0,0,0,16.303457,48.188069,0,0,1
Wien Hütteldorf Bf (Hadikgasse),11105,0,0,0,0,0,16.255374,48.202524,0,0,1
Schwechat Hauptplatz (Himberger Straße),11109,0,0,0,0,0,16.469973,48.121531,0,0,1
Wien Nussdorf Bahnhof,11200,0,0,0,0,0,16.367766,48.260262,0,0,1
Klosterneuburg Weidling Bahnhof,11201,0,0,0,0,0,16.334703,48.297342,0,0,1
Klosterneuburg Kierling Bahnhof,11202,0,0,0,0,0,16.326307,48.30981,0,0,1
Unterkritzendorf Bahnhof,11203,0,0,0,0,0,16.309282,48.324076,0,0,1
Wien Hütteldorf Bahnhof,11336,0,0,0,0,0,16.261118,48.197355,0,0,1
Wien Westbahnhof,11337,0,0,0,0,0,16.337607,48.19687,0,0,1
Deutsch Wagram Bahnhof,11667,0,0,0,0,0,16.563578,48.302916,0,0,1
Wien Leopoldau Bahnhof,11668,0,0,0,0,0,16.449298,48.277521,0,0,1
Wien Siemensstraße Bahnhof,11669,0,0,0,0,0,16.420892,48.270851,0,0,1
Perchtoldsdorf Bahnhof,11768,0,0,0,0,0,16.285478,48.122916,0,0,1
Wien Strebersdorf Bahnhof,11763,0,0,0,0,0,16.381205,48.285944,0,0,1
Bisamberg Bahnhof,11764,0,0,0,0,0,16.346974,48.316813,0,0,1
Wien Süßenbrunn Bahnhof,11785,0,0,0,0,0,16.484383,48.285297,0,0,1
Vösendorf Schönbrunner Allee (WLB),11933,0,0,0,0,0,16.325076,48.135833,0,0,1
Vösendorf-Siebenhirten Bahnhof (WLB),11932,0,0,0,0,0,16.319044,48.125495,0,0,1
Wien Neuerlaa Bahnhst (WLB),11934,0,0,0,0,0,16.327997,48.140633,0,0,1
Wien Inzersdorf Lokalbahn,11935,0,0,0,0,0,16.334353,48.149928,0,0,1
Wien Gutheil-Schoder-Gasse Bahnhst (WLB),11936,0,0,0,0,0,16.335854,48.1596,0,0,1
Wien Schöpfwerk,11937,0,0,0,0,0,16.330766,48.163996,0,0,1
Wien Schedifkaplatz (WLB/Darnautgasse),11938,0,0,0,0,0,16.330883,48.17321,0,0,1
Wien Oper (Kärntner Ring/Lokalbahn),11953,0,0,0,0,0,16.334353,48.149928,0,0,1
Wien Meidling Bf (Eichenstraße/Straßenbahn),11939,0,0,0,0,0,16.331926,48.174433,0,0,1
Wien Dörfelstraße (Steinackergasse),11940,0,0,0,0,0,16.402734,48.283634,0,0,1
Wien Aßmayergasse,11941,0,0,0,0,0,16.33767,48.178712,0,0,1
Wien Johann-Strauß-Gasse (Wiedner Hauptstraße 64),11954,0,0,0,0,0,16.366103,48.189903,0,0,1
Wien Flurschützstraße/Längenfeldgasse,11942,0,0,0,0,0,16.340061,48.179359,0,0,1
Wien Marx-Meidlinger Straße,11943,0,0,0,0,0,16.344232,48.180473,0,0,1
Wien Eichenstraße (Tiefgeschoß),11944,0,0,0,0,0,16.34914,48.180554,0,0,1
Wien Dörfelstraße (Meidling Bahnhof),11955,0,0,0,0,0,16.331926,48.174433,0,0,1
Wien Matzleinsdorfer Platz (Tiefgeschoß),11945,0,0,0,0,0,16.358723,48.180195,0,0,1
Wien Kliebergasse (Tiefgeschoß),11946,0,0,0,0,0,16.36435,48.18291,0,0,1
Wien Laurenzgasse (Tiefgeschoß),11947,0,0,0,0,0,16.362444,48.185256,0,0,1
Wien Johann-Strauß-Gasse (Wiedner Hauptstraße 71),11948,0,0,0,0,0,16.366103,48.189903,0,0,1
Wien Mayerhofgasse,11949,0,0,0,0,0,16.366921,48.19242,0,0,1
Wien Paulanergasse,11950,0,0,0,0,0,16.367181,48.196088,0,0,1
